adsorbent,source_link,method_processing,surface_area_m2g,particle_size_mm,pore_volume_cm3g,pollutant,initial_concentration_mgL,temperature_c,contact_time_min,qe_mg_g,removal_percent,ph,dose_gL
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),400,25,60,2235,N/P,7,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),400,25,60,1610,N/P,7,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),500,25,60,1470,N/P,2,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),500,25,60,1691,N/P,4,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),500,25,60,1813,N/P,6,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),500,25,60,1989,N/P,8,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),500,25,60,1989,N/P,10,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),500,25,60,1993,N/P,7,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),600,25,60,2172,N/P,7,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),700,25,60,2184,N/P,7,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),800,25,60,2185,N/P,7,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),900,25,60,2239,N/P,7,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),100,25,60,397,N/P,7,N/P
AC800,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1999,0.75,1.1551,Methylene Blue (MB),100,25,60,397,N/P,7,N/P
AC800,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1999,0.75,1.1551,Methylene Blue (MB),200,25,60,795,N/P,7,N/P
AC800,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1999,0.75,1.1551,Methylene Blue (MB),300,25,60,1192,N/P,7,N/P
AC800,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1999,0.75,1.1551,Methylene Blue (MB),400,25,60,1548,N/P,7,N/P
AC800,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1999,0.75,1.1551,Methylene Blue (MB),500,25,60,1750,N/P,7,N/P
AC800,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1999,0.75,1.1551,Methylene Blue (MB),600,25,60,1899,N/P,7,N/P
AC800,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1999,0.75,1.1551,Methylene Blue (MB),700,25,60,1995,N/P,7,N/P
AC800,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1999,0.75,1.1551,Methylene Blue (MB),800,25,60,2031,N/P,7,N/P
AC800,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1999,0.75,1.1551,Methylene Blue (MB),900,25,60,1014,N/P,7,N/P
AC900,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1814,0.74,1.1587,Methylene Blue (MB),100,25,60,397,N/P,7,N/P
AC900,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1814,0.74,1.1587,Methylene Blue (MB),200,25,60,795,N/P,7,N/P
AC900,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1814,0.74,1.1587,Methylene Blue (MB),300,25,60,1192,N/P,7,N/P
AC900,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1814,0.74,1.1587,Methylene Blue (MB),400,25,60,1548,N/P,7,N/P
AC900,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1814,0.74,1.1587,Methylene Blue (MB),500,25,60,1697,N/P,7,N/P
AC900,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1814,0.74,1.1587,Methylene Blue (MB),600,25,60,1793,N/P,7,N/P
AC900,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1814,0.74,1.1587,Methylene Blue (MB),700,25,60,1752,N/P,7,N/P
AC900,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1814,0.74,1.1587,Methylene Blue (MB),800,25,60,1806,N/P,7,N/P
AC900,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1814,0.74,1.1587,Methylene Blue (MB),900,25,60,1729,N/P,7,N/P
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),50,45,60,514.286,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),100,45,60,678.571,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),200,45,60,828.571,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),300,45,60,892.857,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),400,45,60,1007.14,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),500,45,60,1071.43,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),600,45,60,1142.86,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),700,45,60,1192.86,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),50,35,60,492.857,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),100,35,60,707.143,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),200,35,60,850,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),300,35,60,992.857,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),400,35,60,1107.14,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),500,35,60,1171.43,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),600,35,60,1178.57,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),700,35,60,1200,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Methyl Violet (MV),50,25,60,535.714,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Methyl Violet (MV),100,25,60,721.429,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Methyl Violet (MV),200,25,60,850,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Methyl Violet (MV),300,25,60,1057.14,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Methyl Violet (MV),400,25,60,1121.43,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Methyl Violet (MV),500,25,60,1142.86,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Methyl Violet (MV),600,25,60,1171.43,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Methyl Violet (MV),700,25,60,1171.43,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),13.27,45,60,875.41,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),89.57,45,60,1091.8,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),172.5,45,60,1259.02,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),272,45,60,1308.2,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),364.9,45,60,1347.54,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),464.5,45,60,1386.89,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),557.3,45,60,1445.9,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),656.9,45,60,1495.08,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),13.27,35,60,885.246,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),86.26,35,60,1131.15,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),165.9,35,60,1327.87,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),258.8,35,60,1416.39,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),345,35,60,1554.1,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),441.2,35,60,1573.77,N/P,7,8
